RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2;;;
22-May-2020 14:51:00;1100;SINGAPORE;EN-GB;8;6;3;4;7;8;9;7;4;8;7;2;3;7;7;40;30;30;4;6;7;2;7;10;3;9;6;3;6;2;4;7;6;2;8;7;6;2;4;3;8;7;4;3;4;7;6;3;2;8;7;3;7;2;3;8;7;3;7;3;6;7;4;7;4;6;6;4;7;30;80;7;4;6;50;3;4;2;NA;42;3;1;1;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 14:52:00;659;SINGAPORE;EN-GB;9;5;5;8;8;9;9;10;5;7;7;9;7;7;8;0;100;0;NA;7;4;4;5;6;6;2;1;2;1;4;7;7;7;4;4;6;6;6;6;5;5;6;6;6;6;6;6;7;8;6;6;5;6;4;5;5;5;5;5;5;6;4;5;5;5;5;5;5;5;50;50;5;4;6;NA;3;4;2;NA;59;3;1;1;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 14:53:00;822;SINGAPORE;EN-GB;10;0;9;9;10;9;8;8;8;1;10;10;6;10;10;50;30;20;6;7;6;8;7;7;7;3;9;3;6;10;10;7;7;7;7;7;10;10;9;7;3;0;8;8;7;8;9;10;7;8;8;6;8;7;9;1;9;10;2;9;10;6;3;10;7;3;8;8;10;20;20;5;7;7;25;3;6;2;NA;32;1;0;1;NA;3;1;1;1;213;8;NA;NA;NA
22-May-2020 14:54:00;1636;SINGAPORE;EN-GB;10;0;9;8;10;10;10;10;9;4;8;10;8;6;8;0;100;0;7;7;6;6;6;9;9;0;0;0;5;8;10;10;10;0;0;10;6;10;8;5;8;1;8;6;6;6;6;8;5;6;4;8;8;2;2;10;8;4;2;9;9;6;1;4;3;9;3;3;8;50;60;5;16;8;25;300;4;1;NA;44;3;2;2;NA;6;1;1;1;213;9;NA;NA;NA
22-May-2020 14:56:00;810;SINGAPORE;EN-GB;6;5;6;6;10;5;5;5;5;5;5;5;5;5;5;34;33;33;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;7;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;50;50;5;1;5;50;300;4;1;NA;51;3;3;1;NA;6;2;1;1;213;5;NA;NA;NA
22-May-2020 14:56:00;961;SINGAPORE;EN-GB;9;1;6;7;7;9;9;9;9;8;7;7;9;7;7;80;10;10;8;10;4;7;6;5;4;7;6;1;1;8;7;8;8;2;2;7;7;6;6;8;6;6;8;8;6;7;7;6;6;6;5;1;7;3;7;7;7;4;6;8;7;7;4;7;6;6;7;6;7;10;10;7;1;9;50;900;4;1;NA;51;3;0;1;NA;1;1;1;1;213;0;NA;NA;NA
22-May-2020 14:57:00;2055;SINGAPORE;EN-GB;9;0;9;9;10;6;6;6;6;6;2;6;2;4;6;10;45;45;6;6;8;6;6;10;10;6;6;6;6;4;4;6;8;2;4;6;6;6;6;6;6;6;4;6;4;4;4;4;4;4;6;6;6;4;4;6;6;4;2;6;6;4;1;4;2;4;4;4;6;10;10;6;3;6;25;300;4;2;NA;31;1;0;1;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 14:58:00;1739;SINGAPORE;EN-GB;10;0;10;10;10;10;7;7;8;10;10;10;8;10;10;60;10;30;4;3;8;2;3;10;10;0;0;0;0;1;10;10;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;4;10;8;8;8;10;10;0;10;10;2;0;0;8;0;10;10;10;0;0;5;16;10;50;300;4;1;NA;31;1;0;1;NA;8;1;1;1;213;0;NA;NA;NA
22-May-2020 15:03:00;871;SINGAPORE;EN-GB;10;0;10;10;10;9;10;10;10;10;9;9;4;10;9;40;30;30;5;6;5;4;2;9;5;1;2;2;2;5;10;9;9;2;2;7;7;8;7;5;3;3;8;8;9;7;7;7;5;7;6;2;7;6;6;3;4;5;3;8;7;5;3;3;4;3;5;5;7;20;20;5;6;10;50;300;4;1;NA;32;1;0;1;NA;6;1;1;2;213;0;NA;NA;NA
22-May-2020 15:03:00;519;SINGAPORE;EN-GB;8;9;9;9;9;10;9;8;9;8;7;8;8;9;8;100;0;0;3;2;0;0;0;7;9;3;2;2;1;7;9;7;9;9;2;2;8;2;9;8;8;2;2;2;8;7;9;8;7;9;7;1;7;8;9;7;9;9;2;8;7;3;8;8;7;7;7;3;8;20;10;8;10;8;25;3;4;1;NA;29;3;1;1;NA;6;1;1;1;213;8;NA;NA;NA
